eprop_type,optimizer,traub_trick,fraction_ALIF,theta_adaptation,n_directions,delay,theta_membrane,theta_output,beta,gamma,weight_decay,L2_reg,FR_reg,FR_target,N_R,V-Error
random,Adam,False,0.9568927143194355,499.89205570472416,2,0,4.5796285244026365,3.786860218484934,0.11705609284934912,0.3483624410382795,0.0528989690615648,0.012096260870172208,62.44148077404703,0.09480010641067707,92,9308.376122290041
random,SGD,True,0.1216811514126366,243.493452859733,1,4,19.37329364365884,5.3051069527653665,0.3080511598223054,0.35195609712425485,0.057404492456034385,0.03155104848298656,71.86301861754542,0.016868091280498206,69,10652.11102640467
random,SGD,True,0.11521740309187281,144.69353978118758,2,5,5.3316044672827925,0.8876324711270036,0.45143702259481294,0.3477578887702122,0.056184835850572726,0.0350438991228642,70.15245373144633,0.09900295045930146,83,10027.673946552964
random,Adam,False,0.4293153002836725,494.87292079690013,1,4,4.221479431395116,2.504475406704416,0.4284409327193876,0.2564167990274157,0.0794213780326025,0.09518003699027615,1.807722575428317,0.06745874789030007,102,8109.103016609338
symmetric,SGD,False,0.9562955155166861,219.26692216932938,2,4,17.118459669333536,4.980250426207737,0.2814714291613898,0.22697866989947874,0.047649076312075024,0.012389281656367095,13.041695324487614,0.031335003808223266,146,9066.377230748423
adaptive,SGD,True,0.3500450000335618,363.8534144097253,2,2,8.689010994881926,3.5946192922735714,0.11166015437922744,0.5515289541982518,0.023325408816922407,0.02785450060238282,95.87937334037655,0.03165303045914392,173,5581.253277039659
random,SGD,True,0.14835833785549948,406.2289062529192,1,3,18.903881601890564,4.790916636517215,0.09307307467305231,0.23544233224112004,0.001080176170642111,0.017946887564873663,80.17768115139435,0.08491892838075238,135,9068.634283170199
adaptive,Adam,True,0.776920326506662,52.77256554804053,1,4,18.90134011997231,3.022687488140855,0.48707823185281757,0.5743767483148285,0.04796592362043978,0.02280197966713134,46.32788095997511,0.04443520894287076,186,4716.467422905817
random,SGD,False,0.5070238606063507,284.8349467557255,2,1,6.394187751891325,3.6936061585345548,0.1966357231187819,0.4097925242719615,0.011944217098924806,0.089502293436616,4.338918758836675,0.09397592696423732,89,11299.798097939001
adaptive,SGD,False,0.16648205657332074,433.18418340129966,2,4,24.722463618431917,3.928496683340856,0.12454775244601778,0.37528295252641714,0.04788774863829192,0.05174840263107353,49.03766279562045,0.015511505779205643,76,7497.2473152278335
random,Adam,False,0.5826454979795963,472.29264476360174,2,0,19.420885267479576,5.536023714791457,0.45549396987494056,0.5023557740908056,0.0324060252979959,0.060904962082276796,95.76495148193722,0.0588846103674301,82,8668.945219797519
adaptive,SGD,False,0.9696988902249689,205.09582678868583,2,4,6.382473356420854,1.7683323756195861,0.1087347478734085,0.15647875959847926,0.048758321741971755,0.010753051783750104,22.295763854248257,0.012413140759049205,96,7734.875663921389
symmetric,Adam,True,0.768983296768289,445.5491049859497,2,0,15.576800916648452,0.8053061813142971,0.3607282682060071,0.3174570242654389,0.03235710756338928,0.09569639550687735,61.142389341888304,0.08362749721829772,151,7812.963444069181
random,Adam,True,0.6728963873069568,336.52229166016235,1,5,20.065866202811637,5.62768351441381,0.2501329723821705,0.17486840800022022,0.07575187345222116,0.03919087820192938,50.026234008512425,0.0963854916116177,189,6424.315597000887
adaptive,Adam,False,0.8706926200810474,36.46696957247984,2,1,29.977851914307465,4.6694897555221475,0.4449668417555027,0.4517991475476801,0.048829770043550075,0.06885656805005988,30.11637904073556,0.010309697169495036,148,7897.388120851635
random,Adam,False,0.7041958232213255,198.74633822008698,2,4,18.330807176351243,3.682195327918668,0.19228668335769084,0.44494213656118703,0.09770417221808178,0.00249819968495213,44.38889545276067,0.09238720371413456,156,4780.997119420498
